Word,Character,Location
Arsenal,Richard Ames,Big Shell
Arsenal Gear,Donald Anderson,Tanker
Dead Cell,Kenneth Baker,Plant
dog tag,Big Boss,Manhattan
GW,Roy Campbell,George Washington Bridge
Patriots,Colonel,Federal Hall
La-li-lu-le-lo,Emma,
S3 Plan,Emmerich,
Philanthropy,Parrot,
Sons of Liberty,Hal,
Metal Gear RAY,Otacon,
Metal Gear,Fatman,
SEMTEX,Fortune,
SEAL Team 10,Gurlukovich,
strut,Olga,
harrier,Liquid,
cell phone,Liquid Ocelot,
EMP,Liquid Snake,
Kasatka,Stillman,
Les Enfants Terribles,Raiden,
computer worm,Revolver Ocelot,
Y2K bug,Rosemary,
Solid Snake Simulation,Rose,
Selection for Societal Sanity,Scott Dolph,
George Washington Bridge,Sergei Gurlukovich,
M9,Solid Snake,
USP,Solidus Snake,
SOCOM,Solidus,
Makarov,Vamp,
AN94,Iroquois Plisken,
AKS-74u,Plisken,
M4,Jack,
Marines,James Johnson,
PSG-1,,
PSG-1T,,
rail gun,,
Nikita,,
Stinger,,
C4,,
claymore,,
High Frequency Blade,,
AP sensor,,
bandage,,
B.D.U.,,
body armor,,
book,,
camera,,
cardboard box,,
cigarettes,,
D-Mic,,
mine detector,,
NVG,,
pentazemin,,
ration,,
scope,,
shaver,,
thermal goggles,,
meme,,
memetics,,
internet,,
information,,
