Word,Character,Location
Arsenal,Richard Ames,Big Shell
Arsenal Gear,Donald Anderson,Tanker
Dead Cell,Kenneth Baker,Plant
dog tag,Big Boss,Manhattan
GW,Roy Campbell,George Washington Bridge
Patriots,Colonel,Federal Hall
La-li-lu-le-lo,Emma,
S3 Plan,Emmerich,
Philanthropy,Parrot,
Sons of Liberty,Hal,
Metal Gear RAY,Otacon,
Metal Gear,Fatman,
SEMTEX,Fortune,
SEAL Team 10,Gurlukovich,
strut,Olga,
Harrier,Liquid,
cell phone,Liquid Ocelot,
EMP,Liquid Snake,
Kasatka,Stillman,
Les Enfants Terribles,Raiden,
computer worm,Revolver Ocelot,
Y2K bug,Rosemary,
Solid Snake Simulation,Rose ,
Selection for Societal Sanity,Scott Dolph,
George Washington Bridge,Sergei Gurlukovich,
M9,Solid Snake,
USP,Solidus Snake,
SOCOM,Solidus,
Makarov,Vamp,
AN94,Iroquios Plisken,
AKS-74u,Plisken,
M4,Jack,
Marines,James Johnson,
PSG-1,,
PSG-1T,,
Rail gun,,
Nikita,,
Stinger,,
C4,,
Claymore,,
High Frequency Blade,,
AP Sensor,,
Bandage,,
B.D.U.,,
Body Armor,,
Book,,
Camera,,
Cardboard Box,,
Cigarettes,,
D-Mic,,
Mine Detector,,
NVG,,
Pentazemin,,
Ration,,
Scope,,
Shaver,,
Thermal goggles,,
meme,,
memetics,,
internet,,
information,,
